,13391_bright_pixels,13391_bright_columns,13391_dark_pixels,13391_dark_columns,13401_bright_pixels,13401_bright_columns,13401_dark_pixels,13401_dark_columns,13505_bright_pixels,13505_bright_columns,13505_dark_pixels,13505_dark_columns,13550_bright_pixels,13550_bright_columns,13550_dark_pixels,13550_dark_columns,DetectorNumber,Manufacturer,Raft
R41_S10,21.0,2.0,23834.0,0.0,24.0,2.0,24041.0,0.0,26.0,0.0,24160.0,0.0,27.0,0.0,24132.0,0.0,165,ITL,R41
R41_S11,20.0,0.0,16786.0,0.0,20.0,0.0,16793.0,0.0,22.0,0.0,16899.0,0.0,22.0,0.0,16902.0,0.0,166,ITL,R41
R41_S12,69.0,1.0,17856.0,0.0,70.0,1.0,17866.0,0.0,79.0,1.0,17879.0,0.0,78.0,1.0,17880.0,0.0,167,ITL,R41
R41_S20,47.0,3.0,25414.0,432.0,48.0,3.0,32034.0,432.0,47.0,3.0,25498.0,474.0,47.0,3.0,25534.0,474.0,168,ITL,R41
R41_S21,41.0,0.0,24158.0,0.0,41.0,0.0,24272.0,0.0,49.0,0.0,23421.0,0.0,49.0,0.0,23345.0,0.0,169,ITL,R41
R41_S22,27.0,3.0,24731.0,0.0,27.0,3.0,24765.0,0.0,31.0,3.0,24439.0,0.0,31.0,3.0,24397.0,0.0,170,ITL,R41
R42_S00,58.0,0.0,16378.0,0.0,60.0,0.0,16381.0,0.0,75.0,0.0,16381.0,0.0,77.0,0.0,16382.0,0.0,171,ITL,R42
R42_S01,12.0,0.0,24199.0,0.0,13.0,0.0,24230.0,0.0,17.0,0.0,24231.0,0.0,17.0,0.0,24227.0,0.0,172,ITL,R42
R42_S02,30.0,0.0,24280.0,0.0,30.0,0.0,24287.0,0.0,14.0,1.0,24268.0,0.0,14.0,1.0,24267.0,0.0,173,ITL,R42
R42_S10,13.0,0.0,24458.0,0.0,14.0,0.0,24463.0,0.0,14.0,0.0,24475.0,0.0,14.0,0.0,24469.0,0.0,174,ITL,R42
R42_S11,22.0,0.0,22220.0,0.0,22.0,0.0,22458.0,0.0,23.0,0.0,22468.0,0.0,23.0,0.0,22443.0,0.0,175,ITL,R42
R42_S12,53.0,2.0,16646.0,0.0,53.0,2.0,16648.0,0.0,70.0,2.0,16702.0,0.0,70.0,2.0,16700.0,0.0,176,ITL,R42
R42_S20,6.0,1.0,24118.0,0.0,6.0,1.0,24171.0,0.0,7.0,1.0,24258.0,0.0,7.0,1.0,24263.0,0.0,177,ITL,R42
